fecha_primeros_sintomas,Casos,Total
2020-06-24,recuperados,229397
2020-06-25,recuperados,233015
2020-06-26,recuperados,237834
2020-06-27,recuperados,241959
2020-06-28,recuperados,245789
2020-06-29,recuperados,249784
2020-06-30,recuperados,253792
2020-07-01,recuperados,257487
2020-07-02,recuperados,260490
2020-07-03,recuperados,264278
2020-07-04,recuperados,267674
2020-07-05,recuperados,270881
2020-07-06,recuperados,273968
2020-07-07,recuperados,277144
2020-07-08,recuperados,279843
2020-07-09,recuperados,282340
2020-07-10,recuperados,284984
2020-07-11,recuperados,287930
2020-07-12,recuperados,291211
2020-07-13,recuperados,293638
2020-07-14,recuperados,296245
2020-07-15,recuperados,298576
2020-07-16,recuperados,300792
2020-07-17,recuperados,303576
2020-07-18,recuperados,306006
2020-07-19,recuperados,308256
2020-07-20,recuperados,310481
2020-07-21,recuperados,312975
2020-07-22,recuperados,314950
2020-07-23,recuperados,316835
2020-07-24,recuperados,319203
2020-07-25,recuperados,321415
2020-07-26,recuperados,323501
2020-07-27,recuperados,325205
2020-07-28,recuperados,327422
2020-07-29,recuperados,329331
2020-07-30,recuperados,330944
2020-07-31,recuperados,333307
2020-08-01,recuperados,335284
2020-08-02,recuperados,337197
2020-08-03,recuperados,339231
2020-08-04,recuperados,341196
2020-08-05,recuperados,342936
2020-08-06,recuperados,344415
2020-08-07,recuperados,346620
2020-08-08,recuperados,348485
2020-08-09,recuperados,350267
2020-08-10,recuperados,352136
2020-08-11,recuperados,354036
2020-08-12,recuperados,355933
2020-08-13,recuperados,357483
2020-08-14,recuperados,359568
2020-08-15,recuperados,361500
2020-08-16,recuperados,363325
2020-08-17,recuperados,365187
2020-08-18,recuperados,367050
2020-08-19,recuperados,368547
2020-08-20,recuperados,369829
2020-08-21,recuperados,371859
2020-08-22,recuperados,373661
2020-08-23,recuperados,375403
2020-08-24,recuperados,376990
2020-08-25,recuperados,378748
2020-08-26,recuperados,380148
2020-08-27,recuperados,381437
2020-08-28,recuperados,383416
2020-08-29,recuperados,385330
2020-08-30,recuperados,387102
2020-08-31,recuperados,389008
2020-09-01,recuperados,390775
2020-09-02,recuperados,392206
2020-09-03,recuperados,393566
2020-09-04,recuperados,395643
2020-09-05,recuperados,397592
2020-09-06,recuperados,399527
2020-09-07,recuperados,401368
2020-09-08,recuperados,403361
2020-09-09,recuperados,404877
2020-09-10,recuperados,406198
2020-09-11,recuperados,408335
2020-09-12,recuperados,410374
2020-09-13,recuperados,412285
2020-09-14,recuperados,414181
2020-09-15,recuperados,416193
2020-09-16,recuperados,417725
2020-09-17,recuperados,419009
2020-09-18,recuperados,421049
2020-09-19,recuperados,422880
2020-09-20,recuperados,424622
2020-09-21,recuperados,426268
2020-09-22,recuperados,427967
2020-09-23,recuperados,429313
2020-09-24,recuperados,430489
2020-09-25,recuperados,432208
2020-09-26,recuperados,433849
2020-09-27,recuperados,435321
2020-09-28,recuperados,436844
2020-09-29,recuperados,438135
2020-09-30,recuperados,439369
2020-10-01,recuperados,440774
2020-10-02,recuperados,442833
2020-10-03,recuperados,444550
2020-10-04,recuperados,446281
2020-10-05,recuperados,447938
2020-10-06,recuperados,449762
2020-10-07,recuperados,451115
2020-10-08,recuperados,452279
2020-10-09,recuperados,454324
2020-10-10,recuperados,455907
2020-10-11,recuperados,457376
2020-10-12,recuperados,459021
2020-10-13,recuperados,460655
2020-10-14,recuperados,461923
2020-10-15,recuperados,463029
2020-10-16,recuperados,464735
2020-10-17,recuperados,466375
2020-10-18,recuperados,467896
2020-10-19,recuperados,469492
2020-10-20,recuperados,471059
2020-10-21,recuperados,472410
2020-10-22,recuperados,473461
2020-10-23,recuperados,474779
2020-10-24,recuperados,476550
2020-10-25,recuperados,478177
2020-10-26,recuperados,479727
2020-10-27,recuperados,481222
2020-10-28,recuperados,482421
2020-10-29,recuperados,483516
2020-10-30,recuperados,485254
2020-10-31,recuperados,486780
2020-11-01,recuperados,488164
2020-11-02,recuperados,489456
2020-11-03,recuperados,490823
2020-11-04,recuperados,491937
2020-11-05,recuperados,492979
2020-11-06,recuperados,494586
2020-11-07,recuperados,496156
2020-11-08,recuperados,497662
2020-11-09,recuperados,498913
2020-11-10,recuperados,500251
2020-11-11,recuperados,501320
2020-11-12,recuperados,502413
2020-11-13,recuperados,504161
2020-11-14,recuperados,505643
2020-11-15,recuperados,507028
2020-11-16,recuperados,508376
2020-11-17,recuperados,509762
2020-11-18,recuperados,510927
2020-11-19,recuperados,511996
2020-11-20,recuperados,513654
2020-11-21,recuperados,515208
